Designator,Mid X,Mid Y,Rotation,Layer
C10,126.492,-101.346,0.0,top
C11,151.5,-108.5,0.0,top
C12,141.830138,-97.642796,90.0,top
C13,150.0,-100.5,90.0,top
C14,124.0,-137.5,0.0,top
C15,117.5,-131.5,270.0,top
C16,123.82,-123.96,0.0,top
C17,147.0,-129.5,0.0,top
C18,134.0,-120.5,180.0,top
C19,147.1425,-121.38,0.0,top
C2,126.0,-91.5,0.0,top
C20,214.0,-104.097349,270.0,top
C21,214.0,-119.097349,270.0,top
C22,204.0,-106.5,270.0,top
C23,202.0,-106.5,270.0,top
C24,204.0,-121.5,270.0,top
C25,204.0,-91.5,270.0,top
C26,202.0,-121.5375,270.0,top
C27,202.0,-91.5,270.0,top
C28,223.0,-105.097349,270.0,top
C29,214.5,-88.597349,270.0,top
C3,119.5,-86.5,270.0,top
C30,208.0,-92.5,0.0,top
C31,207.5,-107.595,0.0,top
C32,207.5,-122.69,0.0,top
C33,208.0,-90.5,0.0,top
C34,207.5,-105.5,0.0,top
C35,207.5,-120.5,0.0,top
C36,105.5,-89.0,90.0,top
C37,105.5,-80.097349,270.0,top
C4,125.984,-78.486,0.0,top
C5,149.0,-87.0,0.0,top
C6,141.224,-72.8,90.0,top
C7,150.7,-79.5,0.0,top
C8,126.0,-115.57,0.0,top
C9,119.5,-108.5,270.0,top
J1,90.8,-115.0,270.0,top
J8,216.06,-136.5,0.0,top
L4,198.12,-87.0,180.0,top
L5,198.12,-102.0,180.0,top
L6,198.12,-117.0,180.0,top
Q10,200.065,-110.22,180.0,bottom
Q11,200.54,-124.72,180.0,bottom
Q13,139.914,-89.402,0.0,top
Q14,140.84,-112.8615,0.0,top
Q15,138.36,-128.18,0.0,top
Q16,138.36,-135.24,0.0,top
Q7,139.915,-82.025,0.0,top
Q8,140.84,-105.5725,0.0,top
Q9,200.565,-96.475,180.0,bottom
R10,132.0,-105.5,0.0,top
R11,132.0,-110.0,0.0,top
R12,115.993635,-106.172,270.0,top
R13,132.0,-112.0,0.0,top
R14,120.0,-137.5,180.0,top
R15,128.82,-125.96,0.0,top
R16,128.82,-128.46,0.0,top
R17,129.3575,-132.96,0.0,top
R18,129.3575,-135.46,0.0,top
R19,112.5,-128.5,270.0,top
R2,122.0,-91.5,180.0,top
R20,202.4,-97.5,180.0,top
R21,202.5,-112.5,180.0,top
R22,202.5,-127.0,180.0,top
R3,131.0,-79.96,0.0,top
R4,131.0,-82.5,0.0,top
R5,130.81,-87.114,0.0,top
R6,117.421301,-82.804,270.0,top
R7,130.81,-89.662,0.0,top
R8,122.0,-115.5,180.0,top
R9,132.0,-103.378,0.0,top
U1,124.679,-84.709,0.0,top
U2,125.695,-108.077,0.0,top
U3,122.745,-130.635,0.0,top
U4,208.2,-96.5,90.0,top
U5,208.225,-111.635,90.0,top
U6,208.225,-126.405,90.0,top
U7,174.45,-106.0,270.0,top
