Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C16, C4",1206,3,470n,C507059
"C11, C5",2220,2,10u,C2843466 
"C12, C18, C6",CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD,3,47u,C7461235
"C13, C7",CAP-SMD_BD8.0-L8.3-W8.3-LS9.2-FD-H10.5,2,100u,C5456764
C14,1812,1,10u,C1021609 
C15,1812,1,10u,C1021609  
C17,2220,1,10u,C2843466
C19,CAP-SMD_BD8.0-L8.3-W8.3-LS9.2-FD-H10.5,1,100u,C5456764 
"C2, C3, C8, C9",1812,4,10u,C1021609
J1,JST_EH_B7B-EH-A_1x07_P2.50mm_Vertical,1,Conn_01x07_Pin,
"J2, J3, J5",SolderWirePad_1x01_SMD_5x10mm,3,Conn_01x01_Pin,
J4,Hirose_DF63M-4P-3.96DSA_1x04_P3.96mm_Vertical,1,Conn_01x04_Socket,
"R12, R19, R6",1812,3,10k,
"R14, R2, R8",1210,3,3,
"U1, U2, U3",SO-16_3.9x9.9mm_P1.27mm,3,STDriveG600,
