Designator,Mid X,Mid Y,Rotation,Layer
C10,126.492,-101.346,0.0,top
C11,148.844,-112.776,270.0,top
C12,141.830138,-97.642796,90.0,top
C13,150.5,-103.5,90.0,top
C14,122.32,-138.46,0.0,top
C15,115.32,-131.46,180.0,top
C16,123.82,-123.96,0.0,top
C17,146.82,-135.46,270.0,top
C18,134.0,-120.5,180.0,top
C19,148.2,-124.3175,90.0,top
C2,125.476,-91.948,0.0,top
C3,118.618,-86.106,270.0,top
C4,125.984,-78.486,0.0,top
C5,148.336,-89.154,270.0,top
C6,141.224,-72.8,90.0,top
C7,150.7,-80.0,0.0,top
C8,125.476,-115.57,0.0,top
C9,119.634,-110.236,270.0,top
J1,90.8,-115.0,270.0,top
J4,161.036,-101.04,270.0,top
Q13,139.914,-89.402,0.0,top
Q14,140.84,-112.8615,0.0,top
Q15,138.36,-128.18,0.0,top
Q16,138.36,-135.24,0.0,top
Q7,139.915,-82.025,0.0,top
Q8,140.84,-105.5725,0.0,top
R10,131.8875,-105.664,0.0,top
R11,132.08,-110.236,0.0,top
R12,115.062,-106.68,270.0,top
R13,132.08,-112.63,0.0,top
R14,117.12,-138.18,180.0,top
R15,128.82,-125.96,0.0,top
R16,128.82,-128.46,0.0,top
R17,129.3575,-132.96,0.0,top
R18,129.3575,-135.46,0.0,top
R19,109.82,-129.46,270.0,top
R2,119.634,-91.694,180.0,top
R3,131.0,-79.96,0.0,top
R4,131.0,-82.5,0.0,top
R5,130.81,-87.114,0.0,top
R6,114.554,-84.074,270.0,top
R7,130.81,-89.662,0.0,top
R8,119.634,-116.332,180.0,top
R9,131.8875,-103.378,0.0,top
U1,124.679,-84.709,0.0,top
U2,125.695,-108.077,0.0,top
U3,122.745,-130.635,0.0,top
